,Time [s], HR, PULSE, RESP, SpO2
0,0,76,69,14,100
1,1,83,70,14,100
2,2,83,69,13,100
3,3,83,68,13,100
4,4,83,66,13,100
5,5,79,63,13,100
6,6,82,60,14,100
7,7,79,57,14,100
8,8,76,54,14,100
9,9,76,53,14,100
10,10,76,51,14,100
11,11,75,51,14,100
12,12,67,50,14,100
13,13,63,50,14,100
14,14,64,50,14,100
15,15,63,50,14,100
16,16,60,50,14,100
17,17,60,50,14,100
18,18,57,50,14,100
19,19,55,50,14,100
20,20,58,50,14,100
21,21,60,50,14,100
22,22,60,50,14,100
23,23,60,50,14,100
24,24,60,50,14,100
25,25,60,50,13,100
26,26,60,50,13,100
27,27,57,50,13,100
28,28,55,50,13,100
29,29,55,50,13,100
30,30,55,50,13,100
31,31,55,50,13,100
32,32,55,50,13,100
33,33,55,50,13,100
34,34,52,50,13,100
35,35,52,50,13,100
36,36,50,50,13,100
37,37,50,50,13,100
38,38,50,50,13,100
39,39,50,50,13,100
40,40,53,50,13,100
41,41,55,50,12,100
42,42,55,50,12,100
43,43,55,50,12,100
44,44,55,50,12,100
45,45,58,50,12,100
46,46,58,50,12,100
47,47,60,50,12,100
48,48,60,50,12,100
49,49,64,50,12,100
50,50,63,50,12,100
51,51,64,50,12,100
52,52,67,50,12,100
53,53,67,50,12,100
54,54,67,50,12,100
55,55,72,50,12,100
56,56,67,50,12,100
57,57,67,50,12,100
58,58,75,50,13,100
59,59,75,50,13,100
60,60,75,50,13,100
61,61,71,50,13,100
62,62,81,50,13,100
63,63,78,50,13,100
64,64,81,50,13,100
65,65,85,50,13,100
66,66,85,50,13,100
67,67,78,50,13,100
68,68,81,50,13,100
69,69,74,50,13,100
70,70,74,50,13,100
71,71,74,50,14,100
72,72,74,50,14,100
73,73,74,50,14,100
74,74,71,50,14,100
75,75,74,49,14,100
76,76,80,49,14,100
77,77,74,49,14,100
78,78,74,49,14,100
79,79,84,49,14,100
80,80,84,49,14,100
81,81,84,49,14,100
82,82,78,49,14,100
83,83,80,49,14,100
84,84,85,49,14,100
85,85,78,49,14,100
86,86,75,49,14,100
87,87,74,49,14,100
88,88,74,49,14,100
89,89,75,49,14,100
90,90,77,49,14,100
91,91,82,50,14,100
92,92,75,50,14,100
93,93,82,50,14,100
94,94,82,50,14,100
95,95,87,49,14,100
96,96,88,49,14,100
97,97,85,49,14,100
98,98,80,49,14,100
99,99,79,49,14,100
100,100,84,49,14,100
101,101,82,49,14,100
102,102,85,49,14,100
103,103,82,49,14,100
104,104,81,49,14,100
105,105,81,49,14,100
106,106,85,49,14,100
107,107,82,49,13,100
108,108,85,51,13,100
109,109,78,53,13,100
110,110,78,57,13,100
111,111,78,61,13,100
112,112,78,66,13,100
113,113,78,70,13,100
114,114,74,75,14,100
115,115,75,78,14,100
116,116,75,81,14,100
117,117,74,81,14,100
118,118,78,83,14,100
119,119,81,84,14,100
120,120,83,84,14,100
121,121,83,84,14,100
122,122,84,85,14,100
123,123,86,85,14,100
124,124,87,86,14,100
125,125,82,86,14,100
126,126,78,86,14,100
127,127,73,85,14,100
128,128,73,85,14,100
129,129,74,88,14,100
130,130,74,90,14,100
131,131,74,92,14,100
132,132,72,94,14,100
133,133,76,96,14,100
134,134,75,97,14,100
135,135,75,97,14,100
136,136,78,94,14,100
137,137,53,91,14,100
138,138,71,88,14,100
139,139,68,86,14,100
140,140,66,84,14,100
141,141,68,81,14,100
142,142,68,80,14,100
143,143,74,75,14,100
144,144,80,71,14,100
145,145,84,67,14,100
146,146,92,63,14,100
147,147,95,58,14,100
148,148,93,54,14,100
149,149,90,51,14,100
150,150,87,51,14,100
151,151,84,51,14,100
152,152,83,52,14,100
153,153,82,52,14,100
154,154,82,53,14,100
155,155,80,57,14,100
156,156,79,61,14,100
157,157,80,64,14,100
158,158,79,68,14,100
159,159,78,71,14,100
160,160,78,75,14,100
161,161,78,78,14,100
162,162,77,78,14,100
163,163,77,78,14,100
164,164,77,78,14,100
165,165,78,77,14,100
166,166,77,77,14,100
167,167,78,76,14,100
168,168,78,75,14,100
169,169,81,75,14,100
170,170,81,74,14,100
171,171,83,74,14,100
172,172,90,75,14,100
173,173,90,75,14,100
174,174,93,76,14,100
175,175,91,77,14,100
176,176,89,78,14,100
177,177,89,79,14,100
178,178,93,79,14,100
179,179,97,79,14,100
180,180,92,77,14,100
181,181,87,76,14,100
182,182,89,74,14,100
