,Time [s], HR, PULSE, RESP, SpO2
0,0,89,87,19,100
1,1,85,87,19,100
2,2,87,88,19,100
3,3,87,88,19,100
4,4,86,88,19,100
5,5,86,88,19,100
6,6,89,88,19,100
7,7,86,87,19,100
8,8,86,87,19,100
9,9,88,87,20,100
10,10,87,87,20,100
11,11,89,86,21,100
12,12,89,86,21,100
13,13,88,87,21,100
14,14,85,87,20,100
15,15,88,87,20,100
16,16,88,87,20,100
17,17,87,87,20,100
18,18,88,87,20,100
19,19,86,87,19,100
20,20,87,87,19,100
21,21,88,87,19,100
22,22,89,87,18,100
23,23,85,87,18,100
24,24,85,87,18,100
25,25,87,87,18,100
26,26,89,87,18,100
27,27,87,87,18,100
28,28,87,87,18,100
29,29,89,88,18,100
30,30,88,88,17,100
31,31,87,87,17,100
32,32,87,87,17,100
33,33,88,86,17,100
34,34,86,85,17,100
35,35,87,85,17,100
36,36,87,84,17,100
37,37,85,84,17,100
38,38,88,84,17,100
39,39,86,84,17,100
40,40,87,85,17,100
41,41,87,86,16,100
42,42,86,86,16,100
43,43,86,86,16,100
44,44,88,86,17,100
45,45,89,87,17,100
46,46,83,87,17,100
47,47,85,87,17,100
48,48,84,87,17,100
49,49,84,87,17,100
50,50,85,87,18,100
51,51,86,86,18,100
52,52,85,85,18,100
53,53,88,85,18,100
54,54,89,84,18,100
55,55,90,83,18,100
56,56,91,83,18,100
57,57,90,82,18,100
58,58,92,83,18,100
59,59,93,85,18,100
60,60,93,87,18,100
61,61,91,88,18,100
62,62,91,90,18,100
63,63,93,91,18,100
64,64,91,91,18,100
65,65,92,92,18,100
66,66,89,92,18,100
67,67,89,92,18,100
68,68,86,91,18,100
69,69,83,91,18,100
70,70,82,90,18,100
71,71,82,89,18,100
72,72,83,89,18,100
73,73,82,88,18,100
74,74,83,85,18,100
75,75,83,84,17,100
76,76,81,82,17,100
77,77,83,80,17,100
78,78,82,80,17,100
79,79,83,80,17,100
80,80,80,79,17,100
81,81,78,77,17,100
82,82,77,76,17,100
83,83,74,75,17,100
84,84,77,75,17,100
85,85,78,75,17,100
86,86,77,75,17,100
87,87,78,74,17,100
88,88,77,74,17,100
89,89,79,75,17,100
90,90,79,76,18,100
91,91,79,77,18,100
92,92,79,78,18,100
93,93,80,79,18,100
94,94,78,79,18,100
95,95,81,79,18,100
96,96,81,79,19,100
97,97,79,78,19,100
98,98,80,78,19,100
99,99,82,77,19,100
100,100,81,77,19,100
101,101,81,78,19,100
102,102,79,79,20,100
103,103,78,79,20,100
104,104,78,80,20,100
105,105,79,80,20,100
106,106,81,80,20,100
107,107,80,79,20,100
108,108,84,79,20,100
